,上体长,手臂长,胸围,颈围,总肩宽,前胸宽,后背宽,前腰节高,后腰节高,总体高,身高,下体长,腰围,臀围
上体长,0,,,,,,,,,,,,,
手臂长,0.634,0,,,,,,,,,,,,
胸围,0.758,0.767,0,,,,,,,,,,,
颈围,0.72,0.806,0.41,0,,,,,,,,,,
总肩宽,0.64,0.676,0.524,0.565,0,,,,,,,,,
前胸宽,0.718,0.737,0.517,0.53,0.548,0,,,,,,,,
后背宽,0.755,0.735,0.46,0.522,0.465,0.367,0,,,,,,,
前腰节高,0.552,0.655,0.548,0.596,0.569,0.678,0.734,0,,,,,,
后腰节高,0.514,0.633,0.635,0.643,0.571,0.717,0.713,0.18,0,,,,,
总体高,0.352,0.338,0.784,0.684,0.571,0.717,0.737,0.473,0.453,0,,,,
身高,0.321,0.319,0.757,0.687,0.57,0.698,0.706,0.48,0.442,0.043,0,,,
下体长,0.514,0.364,0.826,0.757,0.625,0.71,0.745,0.597,0.583,0.143,0.148,0,,
腰围,0.867,0.847,0.268,0.523,0.661,0.608,0.554,0.734,0.759,0.946,0.901,0.945,0,
臀围,0.624,0.748,0.324,0.419,0.559,0.553,0.56,0.576,0.628,0.637,0.624,0.679,0.373,0
