,100米跑,跳远,铅球,跳高,400米跑,110米跨栏,铁饼,撑杆跳高,标枪,1500米跑
100米跑,1,0.59,0.35,0.34,0.63,0.4,0.28,0.2,0.11,-0.07
跳远,0.59,1,0.42,0.51,0.49,0.52,0.31,0.36,0.21,0.09
铅球,0.35,0.42,1,0.38,0.19,0.36,0.73,0.24,0.44,-0.08
跳高,0.34,0.51,0.38,1,0.29,0.46,0.27,0.39,0.17,0.18
400米跑,0.63,0.49,0.19,0.29,1,0.34,0.17,0.23,0.13,0.39
110米跨栏,0.4,0.52,0.36,0.46,0.34,1,0.32,0.33,0.18,0
铁饼,0.28,0.31,0.73,0.27,0.17,0.32,1,0.24,0.34,-0.02
撑杆跳高,0.2,0.36,0.24,0.39,0.23,0.33,0.24,1,0.24,0.17
标枪,0.11,0.21,0.44,0.17,0.13,0.18,0.34,0.24,1,0
1500米跑,-0.07,0.09,-0.08,0.18,0.39,0,-0.02,0.17,0,1
